"STATION","DIVISION","all","LAT","LON","geo_type","State_FIPS","County_FIPS","Tract_FIPS","f_pop","all_pop","p_emp_info","p_f_pop","p_emp_prof","p_75_100k","p_over_100k"
"E 149 ST","IRT",645739478,40.8149146,-73.9148828,"route","36","005","007100","1499","2722",0.00791765637371338,0.550698016164585,0.0356294536817102,0.154,0.07
"E 180 ST","IRT",878410344,40.841892,-73.873489,"establishment","36","005","022000","1079","2243",0.00593824228028504,0.481052162282657,0.00831353919239905,0,0.018
"EAST 105 ST","BMT",1050596246,40.6513735,-73.8990028,"establishment","36","047","109800","1285","2331",0,0.551265551265551,0.0288372093023256,0.084,0.044
"EAST BROADWAY","IND",6589039719,40.713871,-73.9900382,"establishment","36","061","000600","5143","9731",0.0275705481673694,0.52851711026616,0.111579630230295,0.057,0.128
"EASTCHSTER/DYRE","IRT",88708827632,40.8874908,-73.8313873,"establishment","36","005","048401",NA,NA,NA,NA,NA,NA,NA
"EASTN PKWY-MUSM","IRT",48019734323,40.6719938,-73.9642065,"establishment","36","047","017700","0","0",NA,NA,NA,-6666666.66,-6666666.66
"ELDER AV","IRT",560220587,40.828583,-73.879158,"establishment","36","005","005002","2760","5519",0,0.500090596122486,0.0138490926456543,0.032,0.016
"ELMHURST AV","IND",134140643523,40.7484367,-73.8765289,"establishment","36","081","027701",NA,NA,NA,NA,NA,NA,NA
"EUCLID AV","IND",881514393,40.6754013,-73.8719033,"establishment","36","047","119600","2437","4867",0.0167675826734979,0.500719128826793,0.0307405682347462,0.094,0.057
"EXCHANGE PLACE","PTH",134673781,40.71676,-74.03238,"establishment","34","017","007400",NA,NA,NA,NA,NA,NA,NA
"FAR ROCKAWAY","IND",164510256,40.6077352,-73.75177,"establishment","36","081","103202","3846","8076",0.0209048361934477,0.476225854383358,0.0705148205928237,0.15,0.186
"FLATBUSH AV-B.C","IRT",59759035024,40.630641,-73.9453548,"route","36","047","077400","2069","3620",0.028,0.571546961325967,0.0925714285714286,0.126,0.051
"FLUSHING-MAIN","IRT",6733623189,40.7595582,-73.8299221,"establishment","36","081","085300","2955","5103",0.0106194690265487,0.57907113462669,0.0805309734513274,0.052,0.1
"FLUSHING AV","BMT",1580470925,40.7003285,-73.9412453,"establishment","36","047","028501","164","462",0.0722021660649819,0.354978354978355,0.176895306859206,0.023,0.139
"FLUSHING AV","IND",462913263,40.6997972,-73.9500581,"establishment","36","047","050700","1365","2867",0.0443828016643551,0.476107429368678,0.072122052704577,0.022,0.097
"FORDHAM RD","IND",1213595587,40.8628946,-73.9010935,"establishment","36","005","026500","3771","7615",0.00421348314606742,0.495206828627708,0.0185393258426966,0.021,0.017
"FORDHAM RD","IRT",76203715454,40.8628946,-73.9010935,"establishment","36","005","026500","3771","7615",0.00421348314606742,0.495206828627708,0.0185393258426966,0.021,0.017
"FOREST AVE","BMT",482823537,40.704422,-73.903076,"establishment","36","081","058900","2416","5021",0.020259319286872,0.481179047998407,0.0482171799027553,0.095,0.047
"FOREST HILLS 71","IND",4744191265,40.721691,-73.844521,"establishment","36","081","073900","3421","5968",0.0707882534775889,0.573223860589812,0.219474497681607,0.251,0.412
"FRANKLIN AV","IND",3461395791,40.6707618,-73.9581029,"establishment","36","047","021700","2331","3962",0.0749185667752443,0.588339222614841,0.140065146579805,0.154,0.171
"FRANKLIN AV","IRT",25481933439,40.7190006,-74.0066793,"establishment","36","061","003300","2694","5241",0.116725295810681,0.514024041213509,0.229613047649504,0.152,0.675
"FRANKLIN ST","IRT",1187361723,40.7190006,-74.0066793,"establishment","36","061","003300","2694","5241",0.116725295810681,0.514024041213509,0.229613047649504,0.152,0.675
"FREEMAN ST","IRT",7611654350,40.8301745,-73.8917088,"establishment","36","005","012300","2082","4095",0.016870273414776,0.508424908424908,0.0529377545084351,0.05,0.029
"FRESH POND RD","BMT",1174431675,40.706231,-73.895939,"establishment","36","081","061301","3146","6111",0.025388765471279,0.514809360170185,0.0710885433195811,0.168,0.07
"FT HAMILTON PKY","BMT",1003029151,40.6332646,-74.0052219,"route","36","047","021400","1133","2252",0.00627615062761506,0.503108348134991,0.00836820083682008,0.061,0.055
"FT HAMILTON PKY","IND",23222279229,40.6497808,-73.9757703,"establishment","36","047","050001",NA,NA,NA,NA,NA,NA,NA
"FULTON ST","BMT",131762337200,40.7106484,-74.0092956,"establishment","36","061","001300","2600","4639",0.0423800168397418,0.560465617589998,0.311535223126579,0.16,0.592
"FULTON ST","IND",29432747627,40.7093627,-74.0084614,"establishment","36","061","001502","3769","7926",0.0732098325614535,0.475523593237446,0.294620591378696,0.184,0.486
